sentence,word,label
"Kal se mera internship start ho raha hai, thora nervous hoon",se,URD
"Kal se mera internship start ho raha hai, thora nervous hoon",mera,URD
"Kal se mera internship start ho raha hai, thora nervous hoon",internship,MIX
"Kal se mera internship start ho raha hai, thora nervous hoon",start,ENG
"Kal se mera internship start ho raha hai, thora nervous hoon",ho,URD
"Kal se mera internship start ho raha hai, thora nervous hoon",raha,URD
"Kal se mera internship start ho raha hai, thora nervous hoon",hai,URD
"Kal se mera internship start ho raha hai, thora nervous hoon",thora,URD
"Kal se mera internship start ho raha hai, thora nervous hoon",nervous,ENG
"Kal se mera internship start ho raha hai, thora nervous hoon",hoon,URD
"I swear yaar traffic itna bura tha, do ghante lag gaye",I,ENG
"I swear yaar traffic itna bura tha, do ghante lag gaye",swear,ENG
"I swear yaar traffic itna bura tha, do ghante lag gaye",yaar,URD
"I swear yaar traffic itna bura tha, do ghante lag gaye",traffic,MIX
"I swear yaar traffic itna bura tha, do ghante lag gaye",itna,URD
"I swear yaar traffic itna bura tha, do ghante lag gaye",bura,URD
"I swear yaar traffic itna bura tha, do ghante lag gaye",tha,URD
"I swear yaar traffic itna bura tha, do ghante lag gaye",do,URD
"I swear yaar traffic itna bura tha, do ghante lag gaye",ghante,URD
"I swear yaar traffic itna bura tha, do ghante lag gaye",lag,URD
"I swear yaar traffic itna bura tha, do ghante lag gaye",gaye,URD
"Ammi ne kaha ke jaldi aa jao, guests are coming",Ammi,URD
"Ammi ne kaha ke jaldi aa jao, guests are coming",ne,URD
"Ammi ne kaha ke jaldi aa jao, guests are coming",kaha,URD
"Ammi ne kaha ke jaldi aa jao, guests are coming",ke,URD
"Ammi ne kaha ke jaldi aa jao, guests are coming",jaldi,URD
"Ammi ne kaha ke jaldi aa jao, guests are coming",aa,URD
"Ammi ne kaha ke jaldi aa jao, guests are coming",jao,URD
"Ammi ne kaha ke jaldi aa jao, guests are coming",guests,ENG
"Ammi ne kaha ke jaldi aa jao, guests are coming",are,ENG
"Ammi ne kaha ke jaldi aa jao, guests are coming",coming,ENG
Assignment submit kar diya but I think galat file upload ho gayi,Assignment,MIX
Assignment submit kar diya but I think galat file upload ho gayi,submit,ENG
Assignment submit kar diya but I think galat file upload ho gayi,kar,URD
Assignment submit kar diya but I think galat file upload ho gayi,diya,URD
Assignment submit kar diya but I think galat file upload ho gayi,but,ENG
Assignment submit kar diya but I think galat file upload ho gayi,I,ENG
Assignment submit kar diya but I think galat file upload ho gayi,think,ENG
Assignment submit kar diya but I think galat file upload ho gayi,galat,URD
Assignment submit kar diya but I think galat file upload ho gayi,file,MIX
Assignment submit kar diya but I think galat file upload ho gayi,upload,ENG
Assignment submit kar diya but I think galat file upload ho gayi,ho,URD
Assignment submit kar diya but I think galat file upload ho gayi,gayi,URD
"Bhookh lagi hai, let's order something jaldi",Bhookh,URD
"Bhookh lagi hai, let's order something jaldi",lagi,URD
"Bhookh lagi hai, let's order something jaldi",hai,URD
"Bhookh lagi hai, let's order something jaldi",let's,ENG
"Bhookh lagi hai, let's order something jaldi",order,MIX
"Bhookh lagi hai, let's order something jaldi",something,ENG
"Bhookh lagi hai, let's order something jaldi",jaldi,URD
"Weather is so nice today, chalo bahar chalte hain",Weather,ENG
"Weather is so nice today, chalo bahar chalte hain",is,URD
"Weather is so nice today, chalo bahar chalte hain",so,URD
"Weather is so nice today, chalo bahar chalte hain",nice,ENG
"Weather is so nice today, chalo bahar chalte hain",today,ENG
"Weather is so nice today, chalo bahar chalte hain",chalo,URD
"Weather is so nice today, chalo bahar chalte hain",bahar,URD
"Weather is so nice today, chalo bahar chalte hain",chalte,URD
"Weather is so nice today, chalo bahar chalte hain",hain,URD
"Exam ka result aa gaya, alhamdulillah acha number aya",Exam,MIX
"Exam ka result aa gaya, alhamdulillah acha number aya",ka,URD
"Exam ka result aa gaya, alhamdulillah acha number aya",result,MIX
"Exam ka result aa gaya, alhamdulillah acha number aya",aa,URD
"Exam ka result aa gaya, alhamdulillah acha number aya",gaya,URD
"Exam ka result aa gaya, alhamdulillah acha number aya",alhamdulillah,URD
"Exam ka result aa gaya, alhamdulillah acha number aya",acha,URD
"Exam ka result aa gaya, alhamdulillah acha number aya",number,MIX
"Exam ka result aa gaya, alhamdulillah acha number aya",aya,URD
Tumhe pata hai na ke meeting reschedule ho gayi hai,Tumhe,URD
Tumhe pata hai na ke meeting reschedule ho gayi hai,pata,URD
Tumhe pata hai na ke meeting reschedule ho gayi hai,hai,URD
Tumhe pata hai na ke meeting reschedule ho gayi hai,na,URD
Tumhe pata hai na ke meeting reschedule ho gayi hai,ke,URD
Tumhe pata hai na ke meeting reschedule ho gayi hai,meeting,MIX
Tumhe pata hai na ke meeting reschedule ho gayi hai,reschedule,ENG
Tumhe pata hai na ke meeting reschedule ho gayi hai,ho,URD
Tumhe pata hai na ke meeting reschedule ho gayi hai,gayi,URD
Tumhe pata hai na ke meeting reschedule ho gayi hai,hai,URD
"I am so tired yaar, poori raat jaag ke assignment banaya",I,ENG
"I am so tired yaar, poori raat jaag ke assignment banaya",am,ENG
"I am so tired yaar, poori raat jaag ke assignment banaya",so,URD
"I am so tired yaar, poori raat jaag ke assignment banaya",tired,ENG
"I am so tired yaar, poori raat jaag ke assignment banaya",yaar,URD
"I am so tired yaar, poori raat jaag ke assignment banaya",poori,URD
"I am so tired yaar, poori raat jaag ke assignment banaya",raat,URD
"I am so tired yaar, poori raat jaag ke assignment banaya",jaag,URD
"I am so tired yaar, poori raat jaag ke assignment banaya",ke,URD
"I am so tired yaar, poori raat jaag ke assignment banaya",assignment,MIX
"I am so tired yaar, poori raat jaag ke assignment banaya",banaya,URD
"Kal ka plan cancel ho gaya, something came up suddenly",Kal,URD
"Kal ka plan cancel ho gaya, something came up suddenly",ka,URD
"Kal ka plan cancel ho gaya, something came up suddenly",plan,MIX
"Kal ka plan cancel ho gaya, something came up suddenly",cancel,MIX
"Kal ka plan cancel ho gaya, something came up suddenly",ho,URD
"Kal ka plan cancel ho gaya, something came up suddenly",gaya,URD
"Kal ka plan cancel ho gaya, something came up suddenly",something,ENG
"Kal ka plan cancel ho gaya, something came up suddenly",came,ENG
"Kal ka plan cancel ho gaya, something came up suddenly",up,ENG
"Kal ka plan cancel ho gaya, something came up suddenly",suddenly,ENG
Mujhe nahi pata why he is acting so weird today,Mujhe,URD
Mujhe nahi pata why he is acting so weird today,nahi,URD
Mujhe nahi pata why he is acting so weird today,pata,URD
Mujhe nahi pata why he is acting so weird today,why,ENG
Mujhe nahi pata why he is acting so weird today,he,ENG
Mujhe nahi pata why he is acting so weird today,is,ENG
Mujhe nahi pata why he is acting so weird today,acting,ENG
Mujhe nahi pata why he is acting so weird today,so,ENG
Mujhe nahi pata why he is acting so weird today,weird,ENG
Mujhe nahi pata why he is acting so weird today,today,ENG
Chai peene chalen? I really need a break right now,Chai,URD
Chai peene chalen? I really need a break right now,peene,URD
Chai peene chalen? I really need a break right now,chalen,URD
Chai peene chalen? I really need a break right now,I,ENG
Chai peene chalen? I really need a break right now,really,ENG
Chai peene chalen? I really need a break right now,need,ENG
Chai peene chalen? I really need a break right now,a,ENG
Chai peene chalen? I really need a break right now,break,ENG
Chai peene chalen? I really need a break right now,right,ENG
Chai peene chalen? I really need a break right now,now,ENG
Uska behaviour bilkul change ho gaya hai since last week,Uska,URD
Uska behaviour bilkul change ho gaya hai since last week,behaviour,ENG
Uska behaviour bilkul change ho gaya hai since last week,bilkul,URD
Uska behaviour bilkul change ho gaya hai since last week,change,ENG
Uska behaviour bilkul change ho gaya hai since last week,ho,URD
Uska behaviour bilkul change ho gaya hai since last week,gaya,URD
Uska behaviour bilkul change ho gaya hai since last week,hai,URD
Uska behaviour bilkul change ho gaya hai since last week,since,ENG
Uska behaviour bilkul change ho gaya hai since last week,last,ENG
Uska behaviour bilkul change ho gaya hai since last week,week,ENG
"Honestly this professor bohot strict hai, no excuses accepted",Honestly,ENG
"Honestly this professor bohot strict hai, no excuses accepted",this,ENG
"Honestly this professor bohot strict hai, no excuses accepted",professor,MIX
"Honestly this professor bohot strict hai, no excuses accepted",bohot,URD
"Honestly this professor bohot strict hai, no excuses accepted",strict,ENG
"Honestly this professor bohot strict hai, no excuses accepted",hai,URD
"Honestly this professor bohot strict hai, no excuses accepted",no,ENG
"Honestly this professor bohot strict hai, no excuses accepted",excuses,ENG
"Honestly this professor bohot strict hai, no excuses accepted",accepted,ENG
"Bas thora sa wait karo, I am almost done with this",Bas,URD
"Bas thora sa wait karo, I am almost done with this",thora,URD
"Bas thora sa wait karo, I am almost done with this",sa,URD
"Bas thora sa wait karo, I am almost done with this",wait,ENG
"Bas thora sa wait karo, I am almost done with this",karo,URD
"Bas thora sa wait karo, I am almost done with this",I,ENG
"Bas thora sa wait karo, I am almost done with this",am,ENG
"Bas thora sa wait karo, I am almost done with this",almost,ENG
"Bas thora sa wait karo, I am almost done with this",done,ENG
"Bas thora sa wait karo, I am almost done with this",with,ENG
"Bas thora sa wait karo, I am almost done with this",this,ENG
Mummy ne bola hai ke ghar jaldi wapas aana hai,Mummy,MIX
Mummy ne bola hai ke ghar jaldi wapas aana hai,ne,URD
Mummy ne bola hai ke ghar jaldi wapas aana hai,bola,URD
Mummy ne bola hai ke ghar jaldi wapas aana hai,hai,URD
Mummy ne bola hai ke ghar jaldi wapas aana hai,ke,URD
Mummy ne bola hai ke ghar jaldi wapas aana hai,ghar,URD
Mummy ne bola hai ke ghar jaldi wapas aana hai,jaldi,URD
Mummy ne bola hai ke ghar jaldi wapas aana hai,wapas,URD
Mummy ne bola hai ke ghar jaldi wapas aana hai,aana,URD
Mummy ne bola hai ke ghar jaldi wapas aana hai,hai,URD
"This project deadline bohot tight hai, kal tak submit karna hai",This,ENG
"This project deadline bohot tight hai, kal tak submit karna hai",project,MIX
"This project deadline bohot tight hai, kal tak submit karna hai",deadline,MIX
"This project deadline bohot tight hai, kal tak submit karna hai",bohot,URD
"This project deadline bohot tight hai, kal tak submit karna hai",tight,ENG
"This project deadline bohot tight hai, kal tak submit karna hai",hai,URD
"This project deadline bohot tight hai, kal tak submit karna hai",kal,URD
"This project deadline bohot tight hai, kal tak submit karna hai",tak,URD
"This project deadline bohot tight hai, kal tak submit karna hai",submit,ENG
"This project deadline bohot tight hai, kal tak submit karna hai",karna,URD
"This project deadline bohot tight hai, kal tak submit karna hai",hai,URD
Yaar mujhe samajh nahi aa raha ke kya karna chahiye ab,Yaar,URD
Yaar mujhe samajh nahi aa raha ke kya karna chahiye ab,mujhe,URD
Yaar mujhe samajh nahi aa raha ke kya karna chahiye ab,samajh,URD
Yaar mujhe samajh nahi aa raha ke kya karna chahiye ab,nahi,URD
Yaar mujhe samajh nahi aa raha ke kya karna chahiye ab,aa,URD
Yaar mujhe samajh nahi aa raha ke kya karna chahiye ab,raha,URD
Yaar mujhe samajh nahi aa raha ke kya karna chahiye ab,ke,URD
Yaar mujhe samajh nahi aa raha ke kya karna chahiye ab,kya,URD
Yaar mujhe samajh nahi aa raha ke kya karna chahiye ab,karna,URD
Yaar mujhe samajh nahi aa raha ke kya karna chahiye ab,chahiye,URD
Yaar mujhe samajh nahi aa raha ke kya karna chahiye ab,ab,URD
"I just finished the meeting, ab thora rest karna hai",I,ENG
"I just finished the meeting, ab thora rest karna hai",just,ENG
"I just finished the meeting, ab thora rest karna hai",finished,ENG
"I just finished the meeting, ab thora rest karna hai",the,ENG
"I just finished the meeting, ab thora rest karna hai",meeting,MIX
"I just finished the meeting, ab thora rest karna hai",ab,URD
"I just finished the meeting, ab thora rest karna hai",thora,URD
"I just finished the meeting, ab thora rest karna hai",rest,ENG
"I just finished the meeting, ab thora rest karna hai",karna,URD
"I just finished the meeting, ab thora rest karna hai",hai,URD
"Bazaar mein bohot rush thi, shopping karna mushkil ho gaya",Bazaar,URD
"Bazaar mein bohot rush thi, shopping karna mushkil ho gaya",mein,URD
"Bazaar mein bohot rush thi, shopping karna mushkil ho gaya",bohot,URD
"Bazaar mein bohot rush thi, shopping karna mushkil ho gaya",rush,ENG
"Bazaar mein bohot rush thi, shopping karna mushkil ho gaya",thi,URD
"Bazaar mein bohot rush thi, shopping karna mushkil ho gaya",shopping,ENG
"Bazaar mein bohot rush thi, shopping karna mushkil ho gaya",karna,URD
"Bazaar mein bohot rush thi, shopping karna mushkil ho gaya",mushkil,URD
"Bazaar mein bohot rush thi, shopping karna mushkil ho gaya",ho,URD
"Bazaar mein bohot rush thi, shopping karna mushkil ho gaya",gaya,URD
"He literally ignored me the whole day, pata nahi kyun",He,ENG
"He literally ignored me the whole day, pata nahi kyun",literally,ENG
"He literally ignored me the whole day, pata nahi kyun",ignored,ENG
"He literally ignored me the whole day, pata nahi kyun",me,ENG
"He literally ignored me the whole day, pata nahi kyun",the,ENG
"He literally ignored me the whole day, pata nahi kyun",whole,ENG
"He literally ignored me the whole day, pata nahi kyun",day,ENG
"He literally ignored me the whole day, pata nahi kyun",pata,URD
"He literally ignored me the whole day, pata nahi kyun",nahi,URD
"He literally ignored me the whole day, pata nahi kyun",kyun,URD
Mujhe lagta hai ke this plan will not work out,Mujhe,URD
Mujhe lagta hai ke this plan will not work out,lagta,URD
Mujhe lagta hai ke this plan will not work out,hai,URD
Mujhe lagta hai ke this plan will not work out,ke,URD
Mujhe lagta hai ke this plan will not work out,this,ENG
Mujhe lagta hai ke this plan will not work out,plan,MIX
Mujhe lagta hai ke this plan will not work out,will,ENG
Mujhe lagta hai ke this plan will not work out,not,ENG
Mujhe lagta hai ke this plan will not work out,work,ENG
Mujhe lagta hai ke this plan will not work out,out,ENG
"Kal raat neend hi nahi aayi, bohot tension thi",Kal,URD
"Kal raat neend hi nahi aayi, bohot tension thi",raat,URD
"Kal raat neend hi nahi aayi, bohot tension thi",neend,URD
"Kal raat neend hi nahi aayi, bohot tension thi",hi,URD
"Kal raat neend hi nahi aayi, bohot tension thi",nahi,URD
"Kal raat neend hi nahi aayi, bohot tension thi",aayi,URD
"Kal raat neend hi nahi aayi, bohot tension thi",bohot,URD
"Kal raat neend hi nahi aayi, bohot tension thi",tension,MIX
"Kal raat neend hi nahi aayi, bohot tension thi",thi,URD
"Office mein aaj bohot kaam tha, thak gayi hoon completely",Office,MIX
"Office mein aaj bohot kaam tha, thak gayi hoon completely",mein,URD
"Office mein aaj bohot kaam tha, thak gayi hoon completely",aaj,URD
"Office mein aaj bohot kaam tha, thak gayi hoon completely",bohot,URD
"Office mein aaj bohot kaam tha, thak gayi hoon completely",kaam,URD
"Office mein aaj bohot kaam tha, thak gayi hoon completely",tha,URD
"Office mein aaj bohot kaam tha, thak gayi hoon completely",thak,URD
"Office mein aaj bohot kaam tha, thak gayi hoon completely",gayi,URD
"Office mein aaj bohot kaam tha, thak gayi hoon completely",hoon,URD
"Office mein aaj bohot kaam tha, thak gayi hoon completely",completely,ENG
"Please thora jaldi karo, hume late ho raha hai for the event",Please,ENG
"Please thora jaldi karo, hume late ho raha hai for the event",thora,URD
"Please thora jaldi karo, hume late ho raha hai for the event",jaldi,URD
"Please thora jaldi karo, hume late ho raha hai for the event",karo,URD
"Please thora jaldi karo, hume late ho raha hai for the event",hume,URD
"Please thora jaldi karo, hume late ho raha hai for the event",late,ENG
"Please thora jaldi karo, hume late ho raha hai for the event",ho,URD
"Please thora jaldi karo, hume late ho raha hai for the event",raha,URD
"Please thora jaldi karo, hume late ho raha hai for the event",hai,URD
"Please thora jaldi karo, hume late ho raha hai for the event",for,ENG
"Please thora jaldi karo, hume late ho raha hai for the event",the,ENG
"Please thora jaldi karo, hume late ho raha hai for the event",event,ENG
I think mujhe ye job offer accept kar lena chahiye,I,ENG
I think mujhe ye job offer accept kar lena chahiye,think,ENG
I think mujhe ye job offer accept kar lena chahiye,mujhe,URD
I think mujhe ye job offer accept kar lena chahiye,ye,URD
I think mujhe ye job offer accept kar lena chahiye,job,ENG
I think mujhe ye job offer accept kar lena chahiye,offer,ENG
I think mujhe ye job offer accept kar lena chahiye,accept,ENG
I think mujhe ye job offer accept kar lena chahiye,kar,URD
I think mujhe ye job offer accept kar lena chahiye,lena,URD
I think mujhe ye job offer accept kar lena chahiye,chahiye,URD
"Uski shaadi next month hai, sab log excited hain",Uski,URD
"Uski shaadi next month hai, sab log excited hain",shaadi,URD
"Uski shaadi next month hai, sab log excited hain",next,ENG
"Uski shaadi next month hai, sab log excited hain",month,ENG
"Uski shaadi next month hai, sab log excited hain",hai,URD
"Uski shaadi next month hai, sab log excited hain",sab,URD
"Uski shaadi next month hai, sab log excited hain",log,URD
"Uski shaadi next month hai, sab log excited hain",excited,ENG
"Uski shaadi next month hai, sab log excited hain",hain,URD
Traffic ki wajah se meeting mein late pohnch gaya,Traffic,MIX
Traffic ki wajah se meeting mein late pohnch gaya,ki,URD
Traffic ki wajah se meeting mein late pohnch gaya,wajah,URD
Traffic ki wajah se meeting mein late pohnch gaya,se,URD
Traffic ki wajah se meeting mein late pohnch gaya,meeting,MIX
Traffic ki wajah se meeting mein late pohnch gaya,mein,URD
Traffic ki wajah se meeting mein late pohnch gaya,late,ENG
Traffic ki wajah se meeting mein late pohnch gaya,pohnch,URD
Traffic ki wajah se meeting mein late pohnch gaya,gaya,URD
"Honestly, this recipe bohot easy hai try karne ke liye",Honestly,ENG
"Honestly, this recipe bohot easy hai try karne ke liye",this,ENG
"Honestly, this recipe bohot easy hai try karne ke liye",recipe,ENG
"Honestly, this recipe bohot easy hai try karne ke liye",bohot,URD
"Honestly, this recipe bohot easy hai try karne ke liye",easy,ENG
"Honestly, this recipe bohot easy hai try karne ke liye",hai,URD
"Honestly, this recipe bohot easy hai try karne ke liye",try,ENG
"Honestly, this recipe bohot easy hai try karne ke liye",karne,URD
"Honestly, this recipe bohot easy hai try karne ke liye",ke,URD
"Honestly, this recipe bohot easy hai try karne ke liye",liye,URD
"Mujhe abhi ek urgent email bhejna hai, do minute do",Mujhe,URD
"Mujhe abhi ek urgent email bhejna hai, do minute do",abhi,URD
"Mujhe abhi ek urgent email bhejna hai, do minute do",ek,URD
"Mujhe abhi ek urgent email bhejna hai, do minute do",urgent,ENG
"Mujhe abhi ek urgent email bhejna hai, do minute do",email,MIX
"Mujhe abhi ek urgent email bhejna hai, do minute do",bhejna,URD
"Mujhe abhi ek urgent email bhejna hai, do minute do",hai,URD
"Mujhe abhi ek urgent email bhejna hai, do minute do",do,URD
"Mujhe abhi ek urgent email bhejna hai, do minute do",minute,ENG
"Mujhe abhi ek urgent email bhejna hai, do minute do",do,URD
"Kal humne movie dekhi, it was actually really good",Kal,URD
"Kal humne movie dekhi, it was actually really good",humne,URD
"Kal humne movie dekhi, it was actually really good",movie,MIX
"Kal humne movie dekhi, it was actually really good",dekhi,URD
"Kal humne movie dekhi, it was actually really good",it,ENG
"Kal humne movie dekhi, it was actually really good",was,ENG
"Kal humne movie dekhi, it was actually really good",actually,ENG
"Kal humne movie dekhi, it was actually really good",really,ENG
"Kal humne movie dekhi, it was actually really good",good,ENG
"Bhai tumhara phone kaha hai, I have been calling you",Bhai,URD
"Bhai tumhara phone kaha hai, I have been calling you",tumhara,URD
"Bhai tumhara phone kaha hai, I have been calling you",phone,MIX
"Bhai tumhara phone kaha hai, I have been calling you",kaha,URD
"Bhai tumhara phone kaha hai, I have been calling you",hai,URD
"Bhai tumhara phone kaha hai, I have been calling you",I,ENG
"Bhai tumhara phone kaha hai, I have been calling you",have,ENG
"Bhai tumhara phone kaha hai, I have been calling you",been,ENG
"Bhai tumhara phone kaha hai, I have been calling you",calling,ENG
"Bhai tumhara phone kaha hai, I have been calling you",you,ENG
Is semester ka workload bohot zyada hai compared to last time,Is,URD
Is semester ka workload bohot zyada hai compared to last time,semester,MIX
Is semester ka workload bohot zyada hai compared to last time,ka,URD
Is semester ka workload bohot zyada hai compared to last time,workload,ENG
Is semester ka workload bohot zyada hai compared to last time,bohot,URD
Is semester ka workload bohot zyada hai compared to last time,zyada,URD
Is semester ka workload bohot zyada hai compared to last time,hai,URD
Is semester ka workload bohot zyada hai compared to last time,compared,ENG
Is semester ka workload bohot zyada hai compared to last time,to,ENG
Is semester ka workload bohot zyada hai compared to last time,last,ENG
Is semester ka workload bohot zyada hai compared to last time,time,MIX
"I really need some motivation right now, kuch samajh nahi aa raha",I,ENG
"I really need some motivation right now, kuch samajh nahi aa raha",really,ENG
"I really need some motivation right now, kuch samajh nahi aa raha",need,ENG
"I really need some motivation right now, kuch samajh nahi aa raha",some,ENG
"I really need some motivation right now, kuch samajh nahi aa raha",motivation,ENG
"I really need some motivation right now, kuch samajh nahi aa raha",right,ENG
"I really need some motivation right now, kuch samajh nahi aa raha",now,ENG
"I really need some motivation right now, kuch samajh nahi aa raha",kuch,URD
"I really need some motivation right now, kuch samajh nahi aa raha",samajh,URD
"I really need some motivation right now, kuch samajh nahi aa raha",nahi,URD
"I really need some motivation right now, kuch samajh nahi aa raha",aa,URD
"I really need some motivation right now, kuch samajh nahi aa raha",raha,URD
"Ammi ne khana banaya hai, chalo saath mein khate hain",Ammi,URD
"Ammi ne khana banaya hai, chalo saath mein khate hain",ne,URD
"Ammi ne khana banaya hai, chalo saath mein khate hain",khana,URD
"Ammi ne khana banaya hai, chalo saath mein khate hain",banaya,URD
"Ammi ne khana banaya hai, chalo saath mein khate hain",hai,URD
"Ammi ne khana banaya hai, chalo saath mein khate hain",chalo,URD
"Ammi ne khana banaya hai, chalo saath mein khate hain",saath,URD
"Ammi ne khana banaya hai, chalo saath mein khate hain",mein,URD
"Ammi ne khana banaya hai, chalo saath mein khate hain",khate,URD
"Ammi ne khana banaya hai, chalo saath mein khate hain",hain,URD
"Aaj ka mausam bohot suhana hai, bahar ghoomne chalte hain",Aaj,URD
"Aaj ka mausam bohot suhana hai, bahar ghoomne chalte hain",ka,URD
"Aaj ka mausam bohot suhana hai, bahar ghoomne chalte hain",mausam,URD
"Aaj ka mausam bohot suhana hai, bahar ghoomne chalte hain",bohot,URD
"Aaj ka mausam bohot suhana hai, bahar ghoomne chalte hain",suhana,URD
"Aaj ka mausam bohot suhana hai, bahar ghoomne chalte hain",hai,URD
"Aaj ka mausam bohot suhana hai, bahar ghoomne chalte hain",bahar,URD
"Aaj ka mausam bohot suhana hai, bahar ghoomne chalte hain",ghoomne,URD
"Aaj ka mausam bohot suhana hai, bahar ghoomne chalte hain",chalte,URD
"Aaj ka mausam bohot suhana hai, bahar ghoomne chalte hain",hain,URD
"Meri internet connection bohot slow hai, video call nahi ho rahi",Meri,URD
"Meri internet connection bohot slow hai, video call nahi ho rahi",internet,ENG
"Meri internet connection bohot slow hai, video call nahi ho rahi",connection,MIX
"Meri internet connection bohot slow hai, video call nahi ho rahi",bohot,URD
"Meri internet connection bohot slow hai, video call nahi ho rahi",slow,ENG
"Meri internet connection bohot slow hai, video call nahi ho rahi",hai,URD
"Meri internet connection bohot slow hai, video call nahi ho rahi",video,ENG
"Meri internet connection bohot slow hai, video call nahi ho rahi",call,MIX
"Meri internet connection bohot slow hai, video call nahi ho rahi",nahi,URD
"Meri internet connection bohot slow hai, video call nahi ho rahi",ho,URD
"Meri internet connection bohot slow hai, video call nahi ho rahi",rahi,URD
"Bhai cricket match dekhne chalen, Pakistan bohot acha khel raha hai",Bhai,URD
"Bhai cricket match dekhne chalen, Pakistan bohot acha khel raha hai",cricket,MIX
"Bhai cricket match dekhne chalen, Pakistan bohot acha khel raha hai",match,MIX
"Bhai cricket match dekhne chalen, Pakistan bohot acha khel raha hai",dekhne,URD
"Bhai cricket match dekhne chalen, Pakistan bohot acha khel raha hai",chalen,URD
"Bhai cricket match dekhne chalen, Pakistan bohot acha khel raha hai",Pakistan,URD
"Bhai cricket match dekhne chalen, Pakistan bohot acha khel raha hai",bohot,URD
"Bhai cricket match dekhne chalen, Pakistan bohot acha khel raha hai",acha,URD
"Bhai cricket match dekhne chalen, Pakistan bohot acha khel raha hai",khel,URD
"Bhai cricket match dekhne chalen, Pakistan bohot acha khel raha hai",raha,URD
"Bhai cricket match dekhne chalen, Pakistan bohot acha khel raha hai",hai,URD
"I need to finish this presentation before the deadline, bohot stress ho raha hai",I,ENG
